시도명,시군구명,도로명(가로)명,설치주소,설치지점,쓰레기통 종류,관리기관명,관리기관전화번호
대구광역시,달성군,논공중앙로,논공읍 논공중앙로 106,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,용호로,논공읍 용호로 6,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,봉동길,논공읍 봉동길 9-5,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달성군청로,논공읍 달성군청로 33,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,논공로,논공읍 논공로 763,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,논공읍 비슬로 1779,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,죽곡리,다사읍 죽곡리 821-1,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,문양역길,다사읍 문양리 418-3,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,서재로,다사읍 서재로 119-1,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 770,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 790,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 812,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 842-7,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 805,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 839,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,서재로,다사읍 서재로 59,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 790,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 874,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 895,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,다사로,다사읍 다사로 59-5,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,다사읍 달구벌대로 874,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,서재로,다사읍 서재로 35,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,서재로,다사읍 서재로 145,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,세천로,다사읍 세천로 182-9,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,테크노대로,유가읍 테크노대로5길 57,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,테크노상업로,현풍읍 테크노상업로 20,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,테크노상업로,현풍읍 테크노상업로 50,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로 1124,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로 1121,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로 1100,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로176길 27,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로 1025,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로 1008,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 냉천리 38-4,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,가창로,가창면 가창로123길 2,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,하목정2길,하빈면 하목정2길 3,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,하산길,하빈면 하산리 672,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,달구벌대로,하빈면 동곡리 124-1,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,하빈남로,하빈면 하빈남로 249,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,묘동길,하빈면 묘리 715,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,하빈로,하빈면 감문리 813-2,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,옥포읍 비슬로 2283,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,옥포읍 비슬로 2215,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,용연사길,옥포읍 반송리 170-1,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,옥포읍 비슬로 2220,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,옥포읍 비슬로 1900-1,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,용연사길,옥포읍 용연사길 260,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,돌미로,옥포읍 돌미로5길 15,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,돌미로,옥포읍 돌미로 49,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,구지동로,구지면 구지동로10길 3,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,창리로,구지면 창리로11길 38,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,창리로,구지면 창리로11길 51,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,대암내길,구지면 대암리 180,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,과학마을로,구지면 과학마을로2길 5-22,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,과학마을로,구지면 과학마을로4길 49,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,국가산단대로,구지면 응암리 1232,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
